id,name,kind,layer,lane,license,source,interfaces,replacement,notes
sourceos,SourceOS,repo,L0-os-sandbox,spine-core,MIT,Archive.zip:SourceOS-main,(none),none,OS substrate; must operate without socios.
sociosphere,sociosphere,repo,L3-orchestration,spine-core,NO_LICENSE_IN_ARCHIVE,Archive.zip:sociosphere-main,OrchestratorAPI,none,Workspace/orchestrator. Add LICENSE before distribution.
tritrpc,TriTRPC,repo,L3-protocol,spine-core,MIT,Archive.zip:TriTRPC-main,(protocol),none,Deterministic RPC protocol + fixtures.
standards-storage,socioprophet-standards-storage,repo,L0-standards,spine-core,MIT,Archive.zip:socioprophet-standards-storage,(standards),none,Canonical platform standards.
standards-knowledge,socioprophet-standards-knowledge,repo,L0-standards,spine-core,MIT,Archive.zip:socioprophet-standards-knowledge,(standards),none,Canonical knowledge context standards.
agentplane,agentplane,repo,L2-execution,spine-core,MIT,Archive.zip:agentplane,ExecutorAPI,none,Execution/control plane; evidence bundles; sandbox-friendly.
tritfabric,tritfabric,repo,L2-runtime,spine-core,MIT,Archive.zip:tritfabric_repo_fresh,(runtime),none,Opt-in runtime service; default-deny; local-first mode.
socios,socios,repo,L3-community-automation,boxed,GPL-3.0,Archive.zip:socios-main,(automation),optional,Opt-in community automation. OFF by default. Keep separate service; avoid linking into base OS distribution.
global-devsecops-intelligence,global-devsecops-intelligence,repo,L0-specs,blocked,NO_LICENSE_IN_ARCHIVE,Archive.zip:global-devsecops-intelligence,(specs),none,Spec bundle. Add LICENSE before using beyond internal reference.
aiwg,AIWG,repo,L3-process-spine,core,MIT,aiwg-main.zip,Process Spine,none,"Workflow spine: artifacts, stage gates, ensemble patterns."
vercel-ai-sdk,Vercel AI SDK (ai),repo,L6-app-framework,support,Apache-2.0,ai-main.zip,(app sdk),none,App-layer agent SDK (TypeScript).
browser-use,browser-use,repo,L4-browser-ops,support,MIT,browser-use-main.zip,BrowserOpsAPI,none,Alternate BrowserOps driver.
agent-s,Agent-S,repo,L4-desktop-ops,restricted,Apache-2.0,Agent-S-main.zip,DesktopOpsAPI,none,Desktop/GUI automation. Sandbox+opt-in only.
inbox-zero,Inbox Zero,repo,L7-vertical,boxed,GPL-3.0,inbox-zero-main.zip,MailOpsAPI,planned,Email automation app. Keep as separate service; do not link into OS base.
fortemi,Fortemi,repo,L5-knowledge,quarantine,BUSL-1.1,fortemi-main.zip,KnowledgeBaseAPI,replace-first,Source-available; evaluation only. Build permissive KB-Core replacement early.
skill-seekers,Skill Seekers,repo,L5-ingestion,support,MIT,Skill_Seekers-development.zip,Extractor,none,RAG preprocessing / ingestion helpers.
seomachine,seomachine,repo,L7-vertical,support,MIT,seomachine-main.zip,(rig),none,SEO rig (Claude Code workspace).
agent-inbox,agent-inbox,repo,L7-vertical,support,MIT,agent-inbox-main.zip,(rig),none,Inbox rig / patterns.
anus,ANUS,repo,L7-vertical,support,Apache-2.0,ANUS-main.zip,(example),none,Agentic CLI example; useful as sandbox.
argos,argos,repo,L0-patterns,support,CC0-1.0,argos-main.zip,(patterns),none,Authz patterns reference.
bmad-builder,bmad-builder,repo,L3-process-playbooks,support,MIT,bmad-builder-main.zip,(playbooks),none,Process/playbook builder.
ace-framework,ACE Framework,repo,L3-process-playbooks,support,MIT,ACE_Framework-main.zip,(playbooks),none,Principles/process pack.
full-small-app-workflow,Full Small App Workflow,repo,L3-process-playbooks,support,MIT,Full-Small-App-Workflow-main.zip,(playbooks),none,Workflow template.
rappy-lobster,rappy-lobster,repo,L7-vertical,blocked,AMBIGUOUS (MIT-like LICENSE text; package.json=UNLICENSED),rappy-lobster-main.zip,(unknown),none,Do not ship/use until license contradiction resolved.
gastown,Gastown,external,L3-orchestration,core,MIT,external,OrchestratorAPI,none,Multi-agent workspace orchestrator.
opencode,OpenCode,external,L2-executor,core,MIT,external,ExecutorAPI,none,Terminal executor.
goose,Goose,external,L2-executor,core,Apache-2.0,external,ExecutorAPI,none,Alternate executor.
aider,Aider,external,L2-executor,support,Apache-2.0,external,ExecutorAPI,none,Patch-centric executor.
continue,Continue,external,L2-executor,support,Apache-2.0,external,ExecutorAPI,none,IDE executor/review.
stagehand,Stagehand,external,L4-browser-ops,core,MIT,external,BrowserOpsAPI,none,Primary browser automation driver.
tabby,TabbyML Tabby,external,L1-devx,support,Apache-2.0 (ee/ separate),external,(assist),none,Self-hosted coding assistant. Keep EE boundary strict.
mem0,Mem0,external,L5-memory,core,Apache-2.0,external,MemoryAPI,none,Primary memory service.
ad4m,AD4M,external,L5-meaning-graph,boxed,CAL-1.0 (upstream),external,MeaningGraphAPI,planned,Use behind MeaningGraphAPI; build MG-Core replacement for portability.
ontogpt,OntoGPT,external,L5-extraction,support,BSD-3-Clause,external,Extractor,none,Ontology-grounded extraction.
vlmrun,VLM Run,external,L5-extraction,support,Apache-2.0,external,Extractor,none,Schema hub + runners.
subconscious,Subconscious Systems,external,L8-experimental,boxed,VERIFY_PER_REPO,external,(optional),none,Optional external engine. Keep API-only until licensing clarified.
zed,Zed,external,L1-devx,boxed,GPL/AGPL (verify),external,(tool),none,Developer editor. Do not embed into OS distro without compliance plan.
warp,Warp,external,L1-devx,boxed,Proprietary,external,(tool),none,Optional terminal UX only.
